stmPedRampID,stmPedRampCrossingLinkID1,stmPedRampCrossingLinkID2,stmPedRampCrossingLinkID3,stmPedRampCrossingLinkID4,stmPedRampLongitudeVideoLinear,stmPedRampLatitudeVideoLinear,stmPedRampWidth,stmPedRampSlope,stmPedRampCrossSlope,stmPedRampGutterSlope,stmPedRampPassingWidth,stmPedRampPassingCrossSlope,stmPedRampFlareSlopeLeft,stmPedRampFlareSlopeRight,stmPedRampSmooth,stmPedRampFlushAtTop,stmPedRampFlushAtBottom,stmPedRampFlushAtStreet,stmPedRampWarningSurfacePresent,stmPedRampWarningSurfaceCondition,stmPedRampTransitionSlopeLeft,stmPedRampTransitionSlopeRight,stmPedRampLandingCrossSlope
214346796,1201583897,,,,-83.9825725,33.941353,,,,,,,,,,,,,-999,,,,
214391566,1218899767,,,,-84.1759472,33.8709009,,,,,,,,,,,,,,,,,
214402960,1225566961,,,,-84.1383215,33.9268991,,,,,,,,,,,,,-999,,,,
214412796,1225091625,,,,-84.1951412,33.9402714,,,,,,,,,,,,-999,,,,,
214427169,1216329284,,,,-84.2059823,33.9075119,,,,,,,,,,,,,,,,,
214440895,640542439,,,,-84.1819768,33.8925442,,,,,,,,,,,,,-999,,,,
214463979,1221625834,,,,-84.0115134,33.9432032,,,,,,,,,,,,,-999,,,,
214478638,1107981677,,,,-84.0008126,33.9583397,,,,,,,,,,,,,,,,,
214539805,1220175328,,,,-84.2076439,33.9668667,,,,,,,-999,-999,,,,,-999,,,,
214542266,1246168353,,,,-84.0683105,33.951705,,,,,,,,,,,,,,,,,
214612337,1225345544,,,,-84.0846835,33.9791397,,,,,,,,,-999,,,,-999,,,,
214613979,1216141393,,,,-84.1357866,33.8936795,,,,,,,,,,,,,,,,,
214639916,1216291117,1216329284,,,-84.2063571,33.907483,,,,,,,,,,,,-999,,-999,,,
214763968,1224628201,1224628204,,,-84.2092033,33.9153289,,,,,,,,,,,,-999,,,,,
214775298,1220381998,,,,-84.1993944,33.9091508,,,,,,,,,,,,-999,-999,,,,
214789987,1220416300,,,,-84.2197892,33.9917199,,,,,,,,,,,,,,,,,
214799221,1221784191,,,,-84.0177098,33.9672625,,,,,,,,,,,,,,,,,
214820247,1227417779,,,,-83.9956121,33.980101,,,,,,,,,,,-999,,,-999,,,
214888145,1219097539,,,,-84.0829585,33.9495962,,,,,,,,,,,,,-999,,,,
214898836,1225936512,,,,-84.2276299,33.9357451,,,,,,,,,,,,,,,,,
214919867,1217436898,,,,-84.1214451,33.9630851,,,,,,,,,,,,,-999,,,,
214932132,1218884789,,,,-84.1101463,33.9063182,,,,,,,,,,,,,,,,,
214943330,1216378723,1217565817,,,-84.1614315,33.8830077,,,,,,,,,,,,,,,,,
214951169,1224877769,,,,-84.2038456,33.945055,,,,,,,,,,,,,,,,,
215026879,1225050103,,,,-84.1002783,33.9515418,,-999,,,,,-999,,-999,-999,,,-999,-999,,,
215034826,1232825254,,,,-84.1296714,33.9562671,,,-999,-999,,,,,,,,-999,,,,,
215035940,1082155271,,,,-83.9909375,33.9547706,,,-999,,,,,,,,,,,,,,
215053604,647409908,,,,-84.1349217,33.9423589,,,,,,,,,,,,,,,,,
215074278,1106972997,,,,-84.0213659,33.926578,,,,,,,,,,,,,,,,,
215106088,401459392,,,,-84.0964095,33.9828,,,,,,,-999,-999,,,,,,,,,
215138108,1214143673,,,,-84.005982,33.962606,,,,,,,,,,,,,-999,,,,
215174635,1236417420,,,,-83.9891149,33.9441576,,,,,,,,,,,,,-999,,,,
215181619,1251838792,1251838793,,,-84.0763944,33.9724688,,,,,,,,,,,,,,,,,
215192303,1224622515,,,,-84.1995868,33.9423501,,,,,,,-999,-999,,,,,,,,,
215227320,1225345528,,,,-84.081189,33.9845411,,,,,,,,,,,,,,,,,
215236466,1221571459,,,,-84.2406389,33.9457613,,,,,,,,,,,,,,,,,
215261115,1220175322,1220175324,,,-84.207904,33.9688647,,,,,,,-999,-999,,,,,-999,-999,,,
215291511,1216635589,,,,-84.2045678,33.8999604,,,,,,,,,,,,,-999,,,,
215295119,1225093211,,,,-84.2041657,33.9541748,,,,,,,,,,,,,,,,,
215298391,1215634298,,,,-84.091152,33.9941402,,,,,,,,,,,,,-999,,,,
215304363,1221577597,,,,-84.2417705,33.9517496,,,,,,,,,,,,,,,,,
215307888,1219637361,,,,-84.1450997,33.8944304,,,,,,,,,,,,,,,,,
215354625,1203732335,,,,-84.2113492,33.9391397,,,,,,,,,,,,,,,,,
215356152,401636676,1215870581,,,-84.0974232,33.9698247,,,,,,,,,,,,,-999,,,,
215410147,1218794344,1226052592,,,-84.0182396,33.972873,,,,,,,,,,,,,,,,,
215413855,1221816472,,,,-84.1387219,33.9516573,,,,,,,,,,,,,,,,,
215430381,1220602793,,,,-84.2144406,33.9772383,,,,,,,,,,,,,-999,,,,
215442209,1221795315,,,,-84.2396204,33.9449237,,,,,,,,,,,,,,,,,
