stmCrossingLinkID,stmPedRampID1,stmPedRampID2,stmPedRampID3,stmPedRampID4,RampCount
1107979539,239287289,,,,1
1107981670,228728313,244725388,,,2
1107981674,231450591,280147325,,,2
1107981677,217968429,214478638,,,2
1107994870,277121317,242579148,,,2
1107994871,233727512,263577343,,,2
1108019639,247626865,256174177,,,2
1108386718,273865565,273926867,,,2
1108386719,280251433,242468940,,,2
1108386720,250491087,291054134,,,2
1108386733,298014542,,,,1
1108392024,291238567,298511095,,,2
1110051068,225205030,219904901,,,2
1111062736,258639712,,,,1
1111523184,280076973,256791174,,,2
1111523185,286907425,233833814,,,2
1111523186,292011484,256791174,,,2
1111523188,286907425,292011484,,,2
1111523190,257376460,249218097,,,2
1111523191,252105618,248736539,,,2
1118363362,221877005,282802104,214103491,,3
1118363364,236872044,214267629,,,2
1122512512,290250074,227470640,,,2
1131422435,211903890,,,,1
1131422436,249788875,,,,1
1138191493,234412460,281305005,,,2
1138191499,291023641,,,,1
1139074774,221338857,285618245,,,2
1139074776,245066152,269135826,,,2
1141789648,286795818,256321112,,,2
1141823115,256092179,254075415,,,2
1146817260,219633528,256038750,,,2
1146817262,234259234,286852277,,,2
1146817263,261386998,286852277,,,2
1146817264,264908289,,,,1
1146817265,272162750,,,,1
1146817266,234259234,272162750,,,2
1146817267,287496214,264908289,,,2
1149682695,297158617,,,,1
1150588676,275764174,227826718,,,2
1150588679,236568469,,,,1
1150588681,241442508,,,,1
1151673666,216823427,297713940,,,2
1159294082,252223017,286942461,,,2
1159294083,281877271,286942461,,,2
1159294090,297466044,250233058,,,2
1159294091,246053829,250233058,,,2
1159294092,277848172,246053829,,,2
1159294093,297466044,277848172,,,2
1159469918,268260401,219263479,,,2
1159469922,219765198,,,,1
1167183802,233445371,256110132,,,2
1167196103,236405465,222584602,,,2
1167196104,275089934,298677580,,,2
1167196106,223158046,280683767,,,2
1167196108,212840844,231118165,,,2
1170384027,266503083,210809371,,,2
1170384030,288480491,237951539,,,2
1170384031,256471084,,,,1
1170384035,296459080,284465800,,,2
1170384037,249289715,284465800,,,2
1179641648,248996392,298712045,,,2
1179641650,226455127,248996392,,,2
1179641652,260345959,226455127,,,2
1179791115,221097370,265692500,,,2
1201573723,259125862,259507608,,,2
1201573724,294979200,260526171,,,2
1201573725,295075564,294979200,,,2
1201573729,214058392,259125862,,,2
1201573739,211126300,282001335,,,2
1201573770,224372156,273414043,,,2
1201573771,225946008,224372156,,,2
1201573772,217551232,273414043,,,2
1201573773,232594584,217551232,,,2
1201573777,258054372,278011126,,,2
1201573778,210271493,233588535,,,2
1201573779,259477918,271468417,,,2
1201573781,248733776,221527032,,,2
1201573783,257034343,221527032,,,2
1201573794,221224677,,,,1
1201573796,268294474,,,,1
1201573797,224573111,248972999,,,2
1201573800,246606546,224689194,,,2
1201573855,283835856,270419854,,,2
1201573858,242626187,254263138,,,2
1201582671,214088737,219023253,,,2
1201582672,235174317,261197564,,,2
1201583891,247629002,261893525,,,2
1201583894,246526344,215488532,,,2
1201583897,254341083,214346796,,,2
1201583906,292344150,246596922,,,2
1201714804,235367216,250572737,,,2
1201723658,290164010,299517431,,,2
1201723676,253578782,212108865,,,2
1201768269,246735062,237248519,,,2
1201768272,266449847,260979845,,,2
1201768273,298475277,218236103,,,2
1201768275,275093482,222209208,,,2
1201768279,271165586,217751405,,,2
1201768281,217013627,231285710,,,2
1201768284,278154510,294165540,,,2
1201768286,237483744,,,,1
1201768291,237106834,277764329,,,2
1201768298,243016686,284023245,,,2
1201768300,216037245,265765244,,,2
1201768301,217226181,299951188,,,2
1201768302,297263967,217226181,,,2
1201813129,293364554,,,,1
1201821861,253923636,279748403,,,2
1201821863,266759676,286823716,,,2
1201821865,264773570,252976383,,,2
1201821867,249087015,293488324,,,2
1201821869,266455082,291764907,,,2
1201824710,263240125,259769182,,,2
1201833984,257325697,223309394,,,2
1201833989,230959565,238561321,,,2
1201834163,280271873,292583592,,,2
1201834165,298842128,269118510,,,2
1201834167,299345905,298842128,,,2
1201835462,213880264,252655057,,,2
1201837339,299060300,267628666,,,2
1201837824,217333086,283455945,,,2
1201843915,220867849,224807496,,,2
1201859659,260913509,228524183,,,2
1201859663,239787333,261835753,,,2
1201859664,227627681,261835753,,,2
1201859665,238160448,239787333,,,2
1201859666,285838960,245144545,,,2
1201859668,268143784,245144545,,,2
